Zeit in ms, Spannung in Einheitslos
1990101326,30
1990160271,29
1990198397,29
1990260841,31
1990338817,30
1990404593,29
1990461663,29
1990541456,29
1993935476,26
1994022592,27
1994104392,30
1994186880,31
1994266545,32
1994342347,34
1994415085,35
1994493054,35
1994569447,37
1994650610,36
1994731595,36
1994813187,36
1998055456,33
1998148336,33
1998211167,31
1998293473,30
1998367441,29
1998446239,27
1998512691,27
1998588678,28
1998667696,31
1998745639,32
1998823907,30
1998893228,34
2002078324,33
2002157031,35
2002224812,33
2002281048,34
2002338153,34
2002408999,32
2002498107,32
2002567464,30
2002650628,30
2002732786,30
2002801319,30
2002872780,30
2006282253,35
2006374105,38
2006437615,39
2006514310,40
2006589798,39
2006665032,41
2006742054,43
2006824533,41
2006902414,38
2006983248,38
2007070158,37
2007148243,35
2010346644,34
2010416195,31
2010476469,31
2010534140,34
2010591584,36
2010650478,34
2010709349,35
2010778820,35
2010834952,32
2010982783,33
2011041362,34
2011109975,32
2014388211,30
2014468421,30
2014531638,30
2014608652,27
2014687809,26
2014801935,25
2014878326,24
2014962480,25
2015061887,30
2015144200,31
2015223370,31
2015302104,32
2018549701,33
2018636098,31
2018705034,34
2018780565,36
2018856047,35
2018930488,34
2019007895,35
2019103411,34
2019184641,33
2019251364,33
2019316099,33
2019388850,30
2022662543,30
2022770136,33
2022864376,33
2022949085,34
2023025551,31
2023122629,35
2023194437,31
2023253420,31
2023328830,31
2023403290,29
2023482076,29
2023543860,28
2026706779,26
2026778653,27
2026838693,24
2026900168,23
2026965821,25
2027023694,23
2027093376,23
2027150719,29
2027210429,34
2027267355,34
2027324920,33
2027383413,36
2030807007,38
2030888409,36
2030958998,36
2031040217,37
2031145267,35
2031215606,32
2031289813,31
2031367083,31
2031472450,29
2031551803,27
2031629135,24
2031707951,28
2034955794,30
2035023274,28
2035103157,31
2035174046,33
2035227320,32
2035301898,35
2035379971,35
2035445332,34
2035506341,32
2035602792,31
2035672763,32
2035733232,31
2038940140,30
2039037596,29
2039201871,29
2039305085,30
2039385504,32
2039468674,36
2039549922,41
2039611533,45
2039671086,43
2039736022,46
2039830932,43
2039921815,45
2043040978,46
2043145344,42
2043232544,41
2043318099,39
2043396433,35
2043480331,34
2043559832,40
2043641145,41
2043722337,40
2043808602,40
2043895293,40
2043983862,39
2047256390,38
2047386420,37
2047451823,36
2047515882,33
2047578434,31
2047649368,31
2047711314,30
2047801850,28
2047887438,26
2047964901,27
2048041157,30
2048185048,30
2051218060,26
2051274362,27
2051324908,28
2051392241,27
2051478820,26
2051545871,26
2051618149,25
2051684235,24
2051750930,23
2051818397,22
2051884742,19
2051951121,22
2055317192,21
2055400822,27
2055466536,27
2055536969,28
2055611805,31
2055685961,29
2055760369,30
2055832090,37
2055913322,37
2056020507,37
2056104242,36
2056169843,37
2059473086,35
2059557555,35
2059622722,33
2059686899,32
2059747868,30
2059808959,29
2059871832,29
2059933979,27
2059995414,25
2060076564,25
2060137439,23
2060202843,27
2060276446,28
2063710322,28
2063787039,32
2063858066,32
2063960993,31
2064030264,31
2064107547,34
2064187620,33
2064263957,34
2064343806,34
2064420935,37
2064496947,36
2064581859,33
2067845873,32
2067924805,31
2067992600,28
2068082173,31
2068160528,33
2068219978,33
2068262640,32
2068316161,32
2068396974,31
2068466424,31
2068540573,30
2068604365,30
2071799530,29
2071868626,30
2071926835,30
2071988510,31
2072056525,28
2072119279,33
2072276481,36
2072345261,39
2072433255,44
2072550884,47
2072673614,47
2072761210,46
2075857074,46
2075929746,44
2075990435,43
2076089950,43
2076206528,41
2076298316,39
2076370291,37
2076447905,34
2076530433,31
2076610122,37
2076678831,38
2076760448,39
2080002828,35
2080079778,31
2080140247,30
2080199152,29
2080323281,29
2080393168,28
2080456353,26
2080523135,24
2080598624,25
2080656261,24
2080715997,21
2080782206,21
2084140294,20
2084191513,19
2084260175,18
2084328205,17
2084395041,20
2084462387,25
2084529396,32
2084596183,37
2084663036,38
2084729757,38
2084796457,36
2084863850,35
2088109443,36
2088160306,35
2088229322,36
2088296598,34
2088368822,32
2088436627,31
2088515170,29
2088594665,28
2088671678,27
2088753665,30
2088834082,29
2088913691,29
2092212122,30
2092279261,28
2092337936,28
2092393837,29
2092453198,29
2092525905,29
2092586441,34
2092643808,31
2092721195,30
2092781865,28
2092846319,26
2092911905,27
2096454299,25
2096544311,26
2096613287,26
2096679557,29
2096741332,32
2096803100,36
2096869144,36
2096936951,35
2097004983,34
2097110953,34
2097185267,34
2097281337,35
2100519162,36
2100575445,33
2100627733,32
2100666457,28
2100732068,29
2100784571,28
2100841038,26
2100918630,23
2100998362,29
2101105469,31
2101169513,34
2101234443,33
2104594608,33
2104648720,31
2104697837,34
2104746388,34
2104792143,34
2104838975,32
2104906446,31
2104973593,32
2105040723,33
2105137168,32
2105218328,33
2105297876,34
2108669099,38
2108750729,39
2108823036,44
2108900786,44
2108980661,44
2109060577,43
2109113921,46
2109165352,43
2109214672,41
2109284002,41
2109362491,38
2109457162,36
2112732750,34
2112819356,32
2112896722,35
2112989135,37
2113078623,38
2113142987,37
2113200811,37
2113261392,36
2113324972,35
2113394234,34
2113499975,34
2113582802,30
2116912385,30
2116996196,27
2117081213,28
2117139070,26
2117194381,25
2117248581,23
2117286627,21
2117340061,25
2117419916,25
2117495588,25
2117572965,24
2117651489,24
2121057638,22
2121108981,24
2121148974,24
2121187183,24
2121227784,29
2121297309,29
2121365506,29
2121433085,31
2121500025,34
2121567114,32
2121634258,35
2121702378,34
2124969392,34
2125083539,30
2125164182,34
2125239619,35
2125310001,34
2125382208,36
2125445518,34
2125504122,33
2125565710,33
2125627648,33
2125684778,30
2125742505,29
2129133441,28
2129205835,29
2129283611,26
2129351072,25
2129444192,24
2129537145,23
2129628645,22
2129736584,23
2129829232,25
2129921428,23
2130017293,22
2130130980,25
2133232239,28
2133304669,29
2133368545,31
2133437099,32
2133505709,31
2133565425,32
2133641821,33
2133714800,31
2133791728,31
2133867530,31
2133948028,32
2134030309,29
2137347192,27
2137392946,26
2137461361,29
2137545957,28
2137607079,28
2137674756,28
2137749902,29
2137823223,28
2137894207,31
2137971117,30
2138055682,28
2138138635,27
2141525999,29
2141573818,27
2141641398,30
2141710366,28
2141782074,26
2141856546,25
2141937255,27
2142022322,29
2142108044,31
2142180622,36
2142237548,44
2142295344,49
2145500042,50
2145592134,47
2145650749,46
2145710064,45
2145767341,43
2146033564,44
2146133687,40
2146221697,37
2146310292,35
2146397209,39
2146484384,39
2146575548,40
2149647524,41
2149704493,40
2149776239,41
2149852117,36
2149918798,38
2149985420,30
2150065172,31
2150133451,28
2150200073,27
2150266643,28
2150333386,27
2150400558,25
2153787394,24
2153846779,22
2153915731,25
2153983484,24
2154062882,23
2154131478,24
2154202940,24
2154269755,23
2154336539,23
2154403359,21
2154478346,21
2154565572,22
2157725346,19
2157808454,18
2157875649,18
2157953225,20
2158022952,20
2158107228,24
2158167947,27
2158232686,28
2158297152,26
2158389463,25
2158470090,25
2158543716,23
2161860182,24
2161944078,30
2162005207,32
2162088875,37
2162168753,39
2162226291,37
2162287264,37
2162345313,37
2162405389,36
2162490274,34
2162574460,32
2162650308,31
2165939219,29
2166026479,29
2166114645,29
2166169700,26
2166239801,24
2166316764,28
2166393697,29
2166474107,28
2166555578,27
2166633947,29
2166713849,28
2166792213,27
2166874066,27
2170037454,27
2170116066,31
2170192569,29
2170257967,29
2170317839,25
2170385607,27
2170451382,26
2170525307,27
2170595709,28
2170654709,27
2170723626,25
2170803534,30
2174353647,33
2174398544,33
2174438034,31
2174476749,33
2174516678,37
2174566944,37
2174615230,33
2174661380,33
2174707084,32
2174774793,32
2174842084,33
2174909384,29
2178234015,29
2178296714,29
2178354795,29
2178410452,30
2178480409,34
2178537535,34
2178591441,42
2178648345,43
2178702411,43
2178782737,44
2178837505,42
2178891339,42
2182356653,39
2182430824,37
2182490342,36
2182565937,34
2182637698,32
2182700716,31
2182778172,36
2182848044,33
2182923931,35
2182998965,34
2183090209,34
2183167431,35
2186528055,33
2186572077,33
2186646210,31
2186718250,32
2186785940,28
2186845411,28
2186920835,27
2186997163,25
2187087764,25
2187154983,25
2187231506,22
2187299301,20
2190571567,25
2190616310,23
2190683369,23
2190751687,22
2190825204,21
2190888312,23
2190973571,21
2191057659,28
2191140717,28
2191216405,30
2191295157,32
2191374731,32
2194624243,33
2194698921,35
2194761099,33
2194827647,32
2194885608,32
2194945235,31
2195004424,27
2195073781,30
2195141485,31
2195204039,31
2195266471,31
2195328260,30
2198796680,29
2198888150,30
2198962728,29
2199039196,28
2199110041,28
2199190749,27
2199271092,26
2199353089,27
2199433458,29
2199505167,29
2199569222,26
2199644259,26
2202821785,27
2202866950,23
2202933517,28
2203001988,30
2203087038,30
2203126734,33
2203187389,32
2203272299,31
2203353586,33
2203433659,31
2203511536,32
2203589883,31
2206857086,33
2206919577,32
2206981163,31
2207066644,31
2207130849,29
2207188027,30
2207255728,26
2207318050,28
2207394250,29
2207468020,29
2207532148,29
2207591310,31
2211038023,27
2211132035,29
2211193206,31
2211248162,31
2211302060,30
2211357013,30
2211411312,31
2211464649,31
2211520951,29
2211576106,31
2211632106,30
2211688625,35
2215141615,35
2215217890,40
2215301386,44
2215361914,45
2215428752,45
2215487738,46
2215550787,42
2215627065,43
2215684794,42
2215744532,39
2215805378,37
2215878858,35
2219210768,33
2219277832,33
2219327932,30
2219375363,37
2219421702,34
2219467361,35
2219534443,35
2219601452,36
2219668360,32
2219735275,32
2219802072,30
2219868600,29
2223327366,27
2223420107,27
2223483970,25
2223550934,23
2223619969,23
2223687568,22
2223765009,22
2223838439,20
2223917562,19
2223996296,18
2224085029,20
2224161199,21
2227387181,19
2227529964,21
2227590544,23
2227646453,30
2227703363,35
2227760466,34
2227818863,34
2227878663,32
2227937024,32
2227994646,32
2228063988,30
2228123945,29
2231507394,27
2231586893,28
2231657639,28
2231721003,27
2231795191,26
2231876766,29
2231942721,28
2232016382,28
2232115720,26
2232186127,31
2232277310,30
2232342356,30
2235568130,31
2235643173,28
2235732892,31
2235803559,31
2235891309,30
2235967129,27
2236056263,29
2236109336,27
2236156318,25
2236223684,27
2236291822,25
2236358908,28
2239676816,26
2239750135,29
2239828887,33
2239909150,33
2239991063,33
2240097715,34
2240146979,33
2240193439,31
2240260641,34
2240637724,34
2240750081,33
2240835424,31
2243703860,30
2243806495,31
2243876814,27
2243951795,26
2244039686,25
2244156457,29
2244240193,31
2244314276,32
2244396852,32
2244483068,31
2244570833,30
2244657438,34
2247919269,33
2248034270,32
2248135990,32
2248222615,31
2248302915,31
2248382739,29
2248462525,29
2248542383,27
2248614454,26
2248674484,28
2248740806,28
2248816064,34
2251929482,37
2252007371,39
2252089431,40
2252136626,41
2252182338,42
2252227741,43
2252273237,41
2252340176,38
2252409491,38
2252477112,37
2252544044,35
2252611433,34
2256083891,32
2256144039,34
2256192879,34
2256240547,35
2256293072,35
2256353814,36
2256426641,35
2256501698,33
2256575976,31
2256655530,31
2256746907,31
2256826343,29
2260131310,29
2260218511,27
2260278957,26
2260335761,26
2260393532,23
2260453096,23
2260510848,19
2260568458,24
2260625296,21
2260685100,23
2260742566,22
2260823750,22
2264244811,21
2264350653,21
2264440579,19
2264523891,22
2264609613,25
2264709688,28
2264790936,28
2264866085,30
2264941726,28
2265016823,32
2265088342,29
2265149345,33
2268308195,31
2268371720,32
2268437782,30
2268507315,27
2268581694,30
2268662298,31
2268744508,31
2268819942,32
2268896319,30
2268976311,29
2269081949,30
2269150211,28
2269222271,27
2272594567,27
2272662920,25
2272820993,27
2272906537,24
2272982557,24
2273074887,22
2273152617,22
2273227558,20
2273301939,19
2273382303,20
2273454825,19
2273528831,25
2276610757,29
2276687913,29
2276750317,27
2276807773,33
2276883083,31
2276943273,32
2277016931,33
2277113240,30
2277180257,33
2277255991,34
2277318652,32
2277380696,29
2280662556,30
2280739078,26
2280811962,28
2280878269,26
2280974612,23
2281045152,25
2281122426,28
2281185016,27
2281245312,27
2281315693,27
2281386574,29
2281461884,26
2284849421,30
2284920398,31
2284990555,29
2285074886,28
2285122053,29
2285187143,29
2285241432,30
2285311048,26
2285374037,27
2285450569,27
2285520062,29
2285596727,29
2288823987,34
2288897759,36
2288969122,39
2289043968,37
2289128336,40
2289210091,40
2289288155,41
2289367364,40
2289448523,39
2289528780,36
2289610230,36
2289695367,32
2292988996,31
2293259921,32
2293359610,28
2293418022,33
2293477760,36
2293546349,34
2293611042,36
2293670782,33
2293731395,32
2293794225,32
2293860672,30
2293928278,30
2297072118,30
2297181258,28
2297259129,27
2297343245,27
2297421997,24
2297502369,24
2297583252,22
2297667030,20
2297740601,19
2297797335,22
2297855404,21
2297917810,22
2301275258,21
2301319491,21
2301361038,20
2301411486,21
2301461632,25
2301527378,24
2301599003,27
2301662931,28
2301737489,27
2301814907,29
2301892373,28
2301968174,30
2305477802,32
2305536006,31
2305631083,32
2305726941,32
2305814178,30
2305950147,31
2306198669,32
2306324130,31
2306384749,32
2306441562,31
2306500897,31
2306560187,31
2309321079,29
2309392800,28
2309454406,27
2309514216,28
2309573154,25
2309635879,23
2309695478,23
2309757918,23
2309819286,26
2309885446,25
2309953589,23
2310021271,23
2313488882,27
2313606624,26
2313700722,30
2313769435,32
2313846612,33
2313911882,33
2313986518,31
2314066657,29
2314135031,28
2314209080,28
2314287939,27
2314356271,27
2317544536,29
