Index,Wert
1175,34.0
1176,33.0
1177,30.0
1178,43.0
1179,38.0
1180,35.0
1181,41.0
1182,39.0
1183,37.0
1184,39.0
1185,35.0
1186,54.0
1187,52.0
1188,48.0
1189,58.0
1190,53.0
1191,55.0
1192,48.0
1193,43.0
1194,46.0
1195,44.0
1196,39.0
1197,44.0
1198,45.0
1199,47.0
1200,46.0
1201,54.0
1202,52.0
1203,52.0
1204,41.0
1205,46.0
1206,54.0
1207,59.0
1208,60.0
1209,52.0
1210,46.0
1211,49.0
1212,51.0
1213,53.0
1214,50.0
1215,52.0
1216,52.0
1217,51.0
1218,49.0
1219,52.0
1220,50.0
1221,59.0
1222,59.0
1223,54.0
1224,56.0
1225,54.0
1226,58.0
1227,53.0
1228,55.0
1229,55.0
1230,50.0
1231,44.0
1232,51.0
1233,50.0
1234,46.0
1235,40.0
1236,38.0
1237,35.0
1238,29.0
1239,26.0
1240,27.0
1241,37.0
1242,37.0
1243,30.0
1244,23.0
1245,27.0
1246,29.0
1247,39.0
1248,35.0
1249,30.0
1250,26.0
1251,30.0
1252,32.0
1253,33.0
1254,35.0
1255,39.0
1256,31.0
1257,39.0
1258,53.0
1259,48.0
1260,39.0
1261,40.0
1262,40.0
1263,36.0
1264,26.0
1265,29.0
1266,38.0
1267,37.0
1268,33.0
1269,31.0
1270,28.0
1271,28.0
1272,33.0
1273,41.0
1274,41.0
1275,42.0
1276,45.0
1277,35.0
1278,29.0
1279,38.0
1280,52.0
1281,51.0
1282,56.0
1283,52.0
1284,49.0
1285,48.0
1286,42.0
1287,36.0
1288,41.0
1289,36.0
1290,27.0
1291,30.0
1292,49.0
1293,58.0
1294,50.0
1295,52.0
1296,54.0
1297,61.0
1298,54.0
1299,52.0
1300,51.0
1301,50.0
1302,58.0
1303,54.0
1304,46.0
1305,43.0
1306,49.0
1307,50.0
1308,47.0
1309,45.0
1310,38.0
1311,33.0
1312,30.0
1313,24.0
1314,27.0
1315,28.0
1316,30.0
1317,21.0
1318,28.0
1319,34.0
1320,30.0
1321,29.0
1322,38.0
1323,30.0
1324,23.0
1325,29.0
1326,27.0
1327,22.0
1328,29.0
1329,20.0
1330,41.0
1331,33.0
1332,37.0
1333,39.0
1334,33.0
1335,27.0
1336,35.0
1337,36.0
1338,31.0
1339,50.0
1340,43.0
1341,42.0
1342,37.0
1343,33.0
1344,41.0
1345,36.0
1346,30.0
1347,26.0
1348,29.0
1349,42.0
1350,40.0
1351,34.0
1352,28.0
1353,52.0
1354,52.0
1355,50.0
1356,51.0
1357,52.0
1358,46.0
1359,51.0
1360,49.0
1361,43.0
1362,37.0
1363,43.0
1364,38.0
1365,25.0
1366,31.0
1367,44.0
1368,57.0
1369,50.0
1370,57.0
1371,55.0
1372,56.0
1373,55.0
1374,48.0
1375,59.0
1376,52.0
1377,51.0
1378,50.0
1379,43.0
1380,42.0
1381,48.0
1382,48.0
1383,50.0
1384,47.0
1385,42.0
1386,42.0
1387,38.0
1388,34.0
1389,33.0
1390,29.0
1391,25.0
1392,44.0
1393,33.0
1394,35.0
1395,45.0
1396,38.0
1397,30.0
1398,30.0
1399,34.0
1400,40.0
1401,35.0
1402,36.0
1403,35.0
1404,28.0
1405,21.0
1406,37.0
1407,28.0
1408,40.0
1409,31.0
1410,26.0
1411,28.0
1412,51.0
1413,51.0
1414,52.0
1415,48.0
1416,45.0
1417,44.0
1418,36.0
1419,35.0
1420,32.0
1421,32.0
1422,25.0
1423,23.0
1424,30.0
1425,53.0
1426,50.0
1427,45.0
1428,36.0
1429,32.0
1430,35.0
1431,31.0
1432,36.0
1433,41.0
1434,33.0
1435,24.0
1436,30.0
1437,32.0
1438,35.0
1439,35.0
1440,40.0
1441,35.0
1442,35.0
1443,26.0
1444,35.0
1445,54.0
1446,49.0
1447,50.0
1448,58.0
1449,54.0
1450,52.0
1451,54.0
1452,41.0
1453,53.0
1454,53.0
1455,45.0
1456,41.0
1457,46.0
1458,50.0
1459,50.0
1460,48.0
1461,44.0
1462,47.0
1463,53.0
1464,52.0
1465,54.0
1466,48.0
1467,45.0
1468,49.0
1469,46.0
1470,45.0
1471,43.0
1472,33.0
1473,32.0
1474,34.0
1475,30.0
1476,25.0
1477,28.0
1478,24.0
1479,30.0
1480,20.0
1481,20.0
1482,17.0
1483,38.0
1484,31.0
1485,40.0
1486,37.0
1487,27.0
1488,23.0
1489,37.0
1490,29.0
1491,26.0
1492,26.0
1493,19.0
1494,35.0
1495,36.0
1496,35.0
1497,34.0
1498,28.0
1499,24.0
1500,20.0
1501,40.0
1502,45.0
1503,42.0
1504,41.0
1505,34.0
1506,32.0
1507,26.0
1508,38.0
1509,45.0
1510,38.0
1511,37.0
1512,33.0
1513,31.0
1514,36.0
1515,32.0
1516,31.0
1517,40.0
1518,38.0
1519,39.0
1520,38.0
1521,42.0
1522,45.0
1523,44.0
1524,41.0
1525,42.0
1526,47.0
1527,47.0
1528,54.0
1529,49.0
1530,55.0
1531,52.0
1532,47.0
1533,47.0
1534,51.0
1535,48.0
1536,47.0
1537,50.0
1538,47.0
1539,48.0
1540,50.0
1541,52.0
1542,54.0
1543,51.0
1544,58.0
1545,54.0
1546,44.0
1547,49.0
1548,49.0
1549,52.0
1550,55.0
1551,49.0
1552,50.0
1553,47.0
1554,45.0
1555,45.0
1556,40.0
1557,39.0
1558,31.0
1559,21.0
1560,26.0
1561,25.0
1562,46.0
1563,45.0
1564,41.0
1565,37.0
1566,34.0
1567,32.0
1568,34.0
1569,38.0
1570,38.0
1571,37.0
1572,36.0
1573,34.0
1574,30.0
1575,20.0
1576,27.0
1577,32.0
1578,34.0
1579,24.0
1580,27.0
1581,35.0
1582,33.0
1583,38.0
1584,31.0
1585,25.0
1586,23.0
1587,41.0
1588,44.0
1589,38.0
1590,32.0
1591,34.0
1592,34.0
1593,31.0
1594,21.0
1595,37.0
1596,32.0
1597,50.0
1598,45.0
1599,36.0
1600,29.0
1601,30.0
1602,40.0
1603,50.0
1604,53.0
1605,48.0
1606,52.0
1607,52.0
1608,47.0
1609,51.0
1610,43.0
1611,42.0
1612,38.0
1613,36.0
1614,28.0
1615,40.0
1616,40.0
1617,50.0
1618,51.0
1619,52.0
1620,55.0
1621,60.0
1622,52.0
1623,51.0
1624,46.0
1625,49.0
1626,49.0
1627,46.0
1628,44.0
1629,48.0
1630,49.0
1631,46.0
1632,47.0
1633,49.0
1634,50.0
1635,48.0
1636,48.0
1637,44.0
1638,41.0
1639,34.0
1640,21.0
1641,31.0
1642,27.0
1643,26.0
1644,46.0
1645,42.0
1646,36.0
1647,25.0
1648,32.0
1649,43.0
1650,42.0
1651,40.0
1652,33.0
1653,26.0
1654,20.0
1655,23.0
1656,32.0
1657,23.0
1658,23.0
1659,37.0
1660,32.0
1661,29.0
1662,45.0
1663,40.0
1664,32.0
1665,24.0
1666,28.0
1667,32.0
1668,26.0
1669,35.0
1670,47.0
1671,38.0
1672,34.0
1673,19.0
1674,38.0
1675,50.0
1676,40.0
1677,39.0
1678,49.0
1679,44.0
1680,36.0
1681,30.0
1682,25.0
1683,44.0
1684,44.0
1685,43.0
1686,39.0
1687,38.0
1688,37.0
1689,35.0
1690,39.0
1691,40.0
1692,39.0
1693,31.0
1694,40.0
1695,57.0
1696,51.0
1697,50.0
1698,52.0
1699,44.0
1700,42.0
1701,48.0
1702,50.0
1703,50.0
1704,46.0
1705,46.0
1706,50.0
1707,49.0
1708,45.0
1709,45.0
1710,43.0
1711,36.0
1712,34.0
1713,35.0
1714,27.0
1715,18.0
1716,33.0
1717,24.0
1718,23.0
1719,21.0
1720,23.0
1721,36.0
1722,44.0
1723,41.0
1724,35.0
1725,27.0
1726,22.0
1727,20.0
1728,25.0
1729,21.0
1730,17.0
1731,22.0
1732,39.0
1733,40.0
1734,36.0
1735,41.0
1736,41.0
1737,31.0
1738,26.0
1739,28.0
1740,28.0
1741,38.0
1742,44.0
1743,40.0
1744,34.0
1745,28.0
1746,18.0
1747,33.0
1748,34.0
1749,43.0
1750,38.0
1751,28.0
1752,21.0
1753,49.0
1754,56.0
1755,47.0
1756,48.0
1757,46.0
1758,38.0
1759,41.0
1760,38.0
1761,39.0
1762,29.0
1763,31.0
1764,37.0
1765,50.0
1766,50.0
1767,52.0
1768,54.0
1769,54.0
1770,49.0
1771,48.0
1772,55.0
1773,57.0
1774,56.0
1775,50.0
1776,45.0
1777,51.0
1778,54.0
1779,51.0
1780,50.0
1781,46.0
1782,49.0
1783,47.0
1784,46.0
1785,42.0
1786,41.0
1787,39.0
1788,40.0
1789,34.0
1790,28.0
1791,19.0
1792,36.0
1793,30.0
1794,26.0
1795,26.0
1796,20.0
1797,31.0
1798,29.0
1799,35.0
1800,31.0
1801,26.0
1802,18.0
1803,33.0
1804,25.0
1805,25.0
1806,20.0
1807,41.0
1808,50.0
1809,49.0
1810,42.0
1811,45.0
1812,42.0
1813,38.0
1814,31.0
1815,29.0
1816,31.0
1817,35.0
1818,39.0
1819,31.0
1820,29.0
1821,30.0
1822,20.0
1823,31.0
1824,34.0
1825,31.0
1826,40.0
1827,30.0
1828,31.0
1829,41.0
1830,49.0
1831,52.0
1832,54.0
1833,50.0
1834,49.0
1835,50.0
1836,47.0
1837,42.0
1838,36.0
1839,36.0
1840,27.0
1841,29.0
1842,38.0
1843,33.0
1844,41.0
1845,51.0
1846,55.0
1847,52.0
1848,55.0
1849,55.0
1850,52.0
1851,51.0
1852,50.0
1853,53.0
1854,54.0
1855,49.0
1856,47.0
1857,46.0
1858,42.0
1859,38.0
1860,34.0
1861,26.0
1862,25.0
1863,20.0
1864,23.0
1865,31.0
1866,21.0
1867,23.0
1868,58.0
1869,48.0
1870,43.0
1871,47.0
1872,42.0
1873,40.0
1874,42.0
1875,33.0
1876,30.0
1877,26.0
1878,19.0
1879,26.0
1880,14.0
1881,41.0
1882,39.0
1883,34.0
1884,38.0
1885,38.0
1886,33.0
1887,29.0
1888,32.0
